GEOID,NAME,variable,estimate,moe
17025,"Clay County, Illinois",B15003_017,2649,309
17025,"Clay County, Illinois",B15003_018,901,246
17025,"Clay County, Illinois",B15003_019,858,204
17025,"Clay County, Illinois",B15003_020,1164,211
17025,"Clay County, Illinois",B15003_021,1150,196
17025,"Clay County, Illinois",B15003_022,911,190
17025,"Clay County, Illinois",B15003_023,273,96
17025,"Clay County, Illinois",B15003_024,167,96
17025,"Clay County, Illinois",B15003_025,75,80
17025,"Clay County, Illinois",B17001_001,12959,58
17025,"Clay County, Illinois",B19301_001,29950,3306
17025,"Clay County, Illinois",B25002_001,6452,63
17025,"Clay County, Illinois",B25002_003,845,235
17025,"Clay County, Illinois",B25007_001,5607,231
17025,"Clay County, Illinois",B25007_002,4164,227
17025,"Clay County, Illinois",B25024_001,6452,63
17025,"Clay County, Illinois",B25024_002,4692,228
17025,"Clay County, Illinois",B25024_003,29,28
17025,"Clay County, Illinois",B25077_001,84400,6945
17027,"Clinton County, Illinois",B01001H_001,34219,83
17027,"Clinton County, Illinois",B01002_001,40.6,0.7
17027,"Clinton County, Illinois",B02001_001,37549,NA
17027,"Clinton County, Illinois",B02001_002,35017,205
17027,"Clinton County, Illinois",B07001_017,33590,469
17027,"Clinton County, Illinois",B07011_001,35410,1301
17027,"Clinton County, Illinois",B15003_001,26770,105
17027,"Clinton County, Illinois",B15003_017,7054,434
17027,"Clinton County, Illinois",B15003_018,1579,226
17027,"Clinton County, Illinois",B15003_019,2146,274
17027,"Clinton County, Illinois",B15003_020,3552,314
17027,"Clinton County, Illinois",B15003_021,3998,389
17027,"Clinton County, Illinois",B15003_022,4054,381
17027,"Clinton County, Illinois",B15003_023,1439,213
17027,"Clinton County, Illinois",B15003_024,216,104
17027,"Clinton County, Illinois",B15003_025,100,48
17027,"Clinton County, Illinois",B17001_001,35420,244
17027,"Clinton County, Illinois",B19301_001,33231,1350
17027,"Clinton County, Illinois",B25002_001,15909,119
17027,"Clinton County, Illinois",B25002_003,1313,210
17027,"Clinton County, Illinois",B25007_001,14596,243
17027,"Clinton County, Illinois",B25007_002,11621,316
17027,"Clinton County, Illinois",B25024_001,15909,119
17027,"Clinton County, Illinois",B25024_002,12659,324
17027,"Clinton County, Illinois",B25024_003,265,96
