GEOID,NAME,variable,estimate,moe
10420,"Akron, OH Metro Area",B15003_022,98627,2310
10420,"Akron, OH Metro Area",B15003_023,43347,1450
10420,"Akron, OH Metro Area",B15003_024,8368,700
10420,"Akron, OH Metro Area",B15003_025,6301,591
10420,"Akron, OH Metro Area",B17001_001,685794,908
10420,"Akron, OH Metro Area",B19301_001,33985,528
10420,"Akron, OH Metro Area",B25002_001,315600,359
10420,"Akron, OH Metro Area",B25002_003,26094,1370
10420,"Akron, OH Metro Area",B25007_001,289506,1432
10420,"Akron, OH Metro Area",B25007_002,194896,2035
10420,"Akron, OH Metro Area",B25024_001,315600,359
10420,"Akron, OH Metro Area",B25024_002,220124,2031
10420,"Akron, OH Metro Area",B25024_003,17501,1145
10420,"Akron, OH Metro Area",B25077_001,153600,2012
10460,"Alamogordo, NM Micro Area",B01001H_001,31944,258
10460,"Alamogordo, NM Micro Area",B01002_001,36.2,0.3
10460,"Alamogordo, NM Micro Area",B02001_001,66804,NA
10460,"Alamogordo, NM Micro Area",B02001_002,50081,1134
10460,"Alamogordo, NM Micro Area",B07001_017,53478,1177
10460,"Alamogordo, NM Micro Area",B07011_001,23180,1463
10460,"Alamogordo, NM Micro Area",B15003_001,44319,176
10460,"Alamogordo, NM Micro Area",B15003_017,9329,803
10460,"Alamogordo, NM Micro Area",B15003_018,3106,460
10460,"Alamogordo, NM Micro Area",B15003_019,4779,610
10460,"Alamogordo, NM Micro Area",B15003_020,8461,846
10460,"Alamogordo, NM Micro Area",B15003_021,4438,503
10460,"Alamogordo, NM Micro Area",B15003_022,5576,616
10460,"Alamogordo, NM Micro Area",B15003_023,2088,407
10460,"Alamogordo, NM Micro Area",B15003_024,396,159
10460,"Alamogordo, NM Micro Area",B15003_025,305,154
10460,"Alamogordo, NM Micro Area",B17001_001,63079,401
10460,"Alamogordo, NM Micro Area",B19301_001,24777,2162
10460,"Alamogordo, NM Micro Area",B25002_001,31832,159
10460,"Alamogordo, NM Micro Area",B25002_003,8720,577
10460,"Alamogordo, NM Micro Area",B25007_001,23112,601
10460,"Alamogordo, NM Micro Area",B25007_002,15237,543
10460,"Alamogordo, NM Micro Area",B25024_001,31832,159
10460,"Alamogordo, NM Micro Area",B25024_002,19757,549
10460,"Alamogordo, NM Micro Area",B25024_003,1185,234
10460,"Alamogordo, NM Micro Area",B25077_001,120800,4976
10500,"Albany, GA Metro Area",B01001H_001,59753,110
10500,"Albany, GA Metro Area",B01002_001,37.3,0.4
10500,"Albany, GA Metro Area",B02001_001,147431,NA
10500,"Albany, GA Metro Area",B02001_002,61282,317
10500,"Albany, GA Metro Area",B07001_017,120553,2126
10500,"Albany, GA Metro Area",B07011_001,25454,881
10500,"Albany, GA Metro Area",B15003_001,96819,289
